2025-06-01T18:19:07.374013
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300141 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 2.536960 | Test accuracy (task 1): 08.45% | Batch: 0
Training loss: 0.513455 | Test accuracy (task 1): 94.14% | Batch: 25
Training loss: 0.325482 | Test accuracy (task 1): 95.26% | Batch: 50
Training loss: 0.237815 | Test accuracy (task 1): 96.48% | Batch: 75
Training loss: 0.224487 | Test accuracy (task 1): 96.92% | Batch: 100
Training loss: 0.184291 | Test accuracy (task 1): 97.27% | Batch: 125
Training loss: 0.155624 | Test accuracy (task 1): 98.00% | Batch: 150
Training loss: 0.162599 | Test accuracy (task 1): 97.80% | Batch: 175
Training loss: 0.155561 | Test accuracy (task 1): 98.44% | Batch: 200
Training loss: 0.115837 | Test accuracy (task 1): 97.80% | Batch: 225
Training loss: 0.103404 | Test accuracy (task 1): 98.00% | Batch: 250
Training loss: 0.078920 | Test accuracy (task 1): 97.66% | Batch: 275
Training loss: 0.081153 | Test accuracy (task 1): 98.34% | Batch: 300
Training loss: 0.079795 | Test accuracy (task 1): 98.19% | Batch: 325
Training loss: 0.079543 | Test accuracy (task 1): 98.39% | Batch: 350
Training loss: 0.070470 | Test accuracy (task 1): 97.46% | Batch: 375
Training loss: 0.075901 | Test accuracy (task 1): 97.51% | Batch: 400
Training loss: 0.063391 | Test accuracy (task 1): 98.14% | Batch: 425
Training loss: 0.066523 | Test accuracy (task 1): 98.14% | Batch: 450
Training loss: 0.059735 | Test accuracy (task 1): 97.80% | Batch: 475
==================== Training on task 2 ====================
Training loss: 4.593309 | Test accuracy (task 1): 96.68% | Batch: 0
Training loss: 0.322275 | Test accuracy (task 1): 56.84% | Batch: 25
Training loss: 0.220073 | Test accuracy (task 1): 45.41% | Batch: 50
Training loss: 0.163220 | Test accuracy (task 1): 43.99% | Batch: 75
Training loss: 0.151932 | Test accuracy (task 1): 39.31% | Batch: 100
Training loss: 0.123999 | Test accuracy (task 1): 44.14% | Batch: 125
Training loss: 0.114019 | Test accuracy (task 1): 38.87% | Batch: 150
Training loss: 0.090744 | Test accuracy (task 1): 38.87% | Batch: 175
Training loss: 0.087100 | Test accuracy (task 1): 41.31% | Batch: 200
Training loss: 0.085604 | Test accuracy (task 1): 36.62% | Batch: 225
Training loss: 0.072072 | Test accuracy (task 1): 36.57% | Batch: 250
Training loss: 0.070989 | Test accuracy (task 1): 37.70% | Batch: 275
Training loss: 0.068972 | Test accuracy (task 1): 37.70% | Batch: 300
Training loss: 0.067411 | Test accuracy (task 1): 35.60% | Batch: 325
Training loss: 0.063627 | Test accuracy (task 1): 34.72% | Batch: 350
Training loss: 0.055688 | Test accuracy (task 1): 39.99% | Batch: 375
Training loss: 0.058134 | Test accuracy (task 1): 36.28% | Batch: 400
Training loss: 0.054794 | Test accuracy (task 1): 33.15% | Batch: 425
Training loss: 0.057293 | Test accuracy (task 1): 33.94% | Batch: 450
Training loss: 0.049068 | Test accuracy (task 1): 36.28% | Batch: 475
==================== Training on task 3 ====================
Training loss: 3.861680 | Test accuracy (task 1): 36.30% | Batch: 0
Training loss: 0.309357 | Test accuracy (task 1): 32.55% | Batch: 25
Training loss: 0.195397 | Test accuracy (task 1): 29.72% | Batch: 50
Training loss: 0.155877 | Test accuracy (task 1): 34.31% | Batch: 75
Training loss: 0.123900 | Test accuracy (task 1): 35.35% | Batch: 100
Training loss: 0.119472 | Test accuracy (task 1): 36.46% | Batch: 125
Training loss: 0.104394 | Test accuracy (task 1): 36.23% | Batch: 150
Training loss: 0.096482 | Test accuracy (task 1): 38.54% | Batch: 175
Training loss: 0.089411 | Test accuracy (task 1): 35.81% | Batch: 200
Training loss: 0.077188 | Test accuracy (task 1): 36.46% | Batch: 225
Training loss: 0.072076 | Test accuracy (task 1): 35.51% | Batch: 250
Training loss: 0.067284 | Test accuracy (task 1): 36.17% | Batch: 275
Training loss: 0.061104 | Test accuracy (task 1): 37.73% | Batch: 300
Training loss: 0.065485 | Test accuracy (task 1): 36.88% | Batch: 325
Training loss: 0.062518 | Test accuracy (task 1): 34.47% | Batch: 350
Training loss: 0.056301 | Test accuracy (task 1): 36.49% | Batch: 375
Training loss: 0.059003 | Test accuracy (task 1): 37.83% | Batch: 400
Training loss: 0.049087 | Test accuracy (task 1): 35.32% | Batch: 425
Training loss: 0.051925 | Test accuracy (task 1): 35.87% | Batch: 450
Training loss: 0.046879 | Test accuracy (task 1): 36.88% | Batch: 475
Experiment 3 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 4~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.530679 | Test accuracy (task 1): 06.54% | Batch: 0
Training loss: 0.579931 | Test accuracy (task 1): 93.85% | Batch: 25
Training loss: 0.341227 | Test accuracy (task 1): 95.31% | Batch: 50
Training loss: 0.247704 | Test accuracy (task 1): 97.66% | Batch: 75
Training loss: 0.207734 | Test accuracy (task 1): 97.27% | Batch: 100
Training loss: 0.198750 | Test accuracy (task 1): 98.00% | Batch: 125
Training loss: 0.144501 | Test accuracy (task 1): 98.34% | Batch: 150
Training loss: 0.131965 | Test accuracy (task 1): 97.51% | Batch: 175
Training loss: 0.126179 | Test accuracy (task 1): 98.10% | Batch: 200
Training loss: 0.109529 | Test accuracy (task 1): 98.00% | Batch: 225
Training loss: 0.125251 | Test accuracy (task 1): 97.56% | Batch: 250
Training loss: 0.087868 | Test accuracy (task 1): 97.75% | Batch: 275
Training loss: 0.073755 | Test accuracy (task 1): 97.71% | Batch: 300
Training loss: 0.082354 | Test accuracy (task 1): 97.80% | Batch: 325
Training loss: 0.077339 | Test accuracy (task 1): 97.71% | Batch: 350
Training loss: 0.086897 | Test accuracy (task 1): 97.51% | Batch: 375
Training loss: 0.083756 | Test accuracy (task 1): 97.85% | Batch: 400
Training loss: 0.068786 | Test accuracy (task 1): 98.05% | Batch: 425
Training loss: 0.073115 | Test accuracy (task 1): 97.90% | Batch: 450
Training loss: 0.079920 | Test accuracy (task 1): 97.41% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.251622 | Test accuracy (task 1): 97.66% | Batch: 0
Training loss: 0.248041 | Test accuracy (task 1): 96.78% | Batch: 25
Training loss: 0.176213 | Test accuracy (task 1): 97.07% | Batch: 50
Training loss: 0.160348 | Test accuracy (task 1): 97.51% | Batch: 75
Training loss: 0.175426 | Test accuracy (task 1): 97.07% | Batch: 100
Training loss: 0.140884 | Test accuracy (task 1): 96.88% | Batch: 125
Training loss: 0.106664 | Test accuracy (task 1): 97.61% | Batch: 150
Training loss: 0.119597 | Test accuracy (task 1): 97.46% | Batch: 175
Training loss: 0.103822 | Test accuracy (task 1): 97.71% | Batch: 200
Training loss: 0.116025 | Test accuracy (task 1): 97.46% | Batch: 225
Training loss: 0.112044 | Test accuracy (task 1): 97.51% | Batch: 250
Training loss: 0.098964 | Test accuracy (task 1): 97.66% | Batch: 275
Training loss: 0.081544 | Test accuracy (task 1): 97.51% | Batch: 300
Training loss: 0.083555 | Test accuracy (task 1): 96.88% | Batch: 325
Training loss: 0.071798 | Test accuracy (task 1): 97.85% | Batch: 350
Training loss: 0.068096 | Test accuracy (task 1): 97.66% | Batch: 375
Training loss: 0.076657 | Test accuracy (task 1): 97.66% | Batch: 400
Training loss: 0.069595 | Test accuracy (task 1): 97.22% | Batch: 425
Training loss: 0.068480 | Test accuracy (task 1): 97.07% | Batch: 450
Training loss: 0.061225 | Test accuracy (task 1): 98.00% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.136092 | Test accuracy (task 1): 97.49% | Batch: 0
Training loss: 0.225534 | Test accuracy (task 1): 95.96% | Batch: 25
Training loss: 0.173951 | Test accuracy (task 1): 97.01% | Batch: 50
Training loss: 0.166611 | Test accuracy (task 1): 96.68% | Batch: 75
Training loss: 0.137228 | Test accuracy (task 1): 97.23% | Batch: 100
Training loss: 0.138114 | Test accuracy (task 1): 96.88% | Batch: 125
Training loss: 0.119286 | Test accuracy (task 1): 96.71% | Batch: 150
Training loss: 0.110991 | Test accuracy (task 1): 97.46% | Batch: 175
Training loss: 0.103918 | Test accuracy (task 1): 96.84% | Batch: 200
Training loss: 0.122293 | Test accuracy (task 1): 97.10% | Batch: 225
Training loss: 0.093567 | Test accuracy (task 1): 96.78% | Batch: 250
Training loss: 0.096732 | Test accuracy (task 1): 97.69% | Batch: 275
Training loss: 0.080965 | Test accuracy (task 1): 97.53% | Batch: 300
Training loss: 0.078692 | Test accuracy (task 1): 97.36% | Batch: 325
Training loss: 0.074305 | Test accuracy (task 1): 97.30% | Batch: 350
Training loss: 0.072098 | Test accuracy (task 1): 97.49% | Batch: 375
Training loss: 0.073644 | Test accuracy (task 1): 97.20% | Batch: 400
Training loss: 0.062993 | Test accuracy (task 1): 97.30% | Batch: 425
Training loss: 0.061224 | Test accuracy (task 1): 97.53% | Batch: 450
Training loss: 0.080487 | Test accuracy (task 1): 97.53% | Batch: 475
Experiment 4 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 5~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.306430 | Test accuracy (task 1): 10.64% | Batch: 0
Training loss: 0.286079 | Test accuracy (task 1): 92.72% | Batch: 25
Training loss: 0.231269 | Test accuracy (task 1): 94.48% | Batch: 50
Training loss: 0.165080 | Test accuracy (task 1): 95.56% | Batch: 75
Training loss: 0.145917 | Test accuracy (task 1): 96.73% | Batch: 100
Training loss: 0.121828 | Test accuracy (task 1): 96.73% | Batch: 125
Training loss: 0.094275 | Test accuracy (task 1): 97.17% | Batch: 150
Training loss: 0.071164 | Test accuracy (task 1): 98.00% | Batch: 175
Training loss: 0.092434 | Test accuracy (task 1): 97.80% | Batch: 200
Training loss: 0.094016 | Test accuracy (task 1): 97.22% | Batch: 225
Training loss: 0.073475 | Test accuracy (task 1): 97.31% | Batch: 250
Training loss: 0.053852 | Test accuracy (task 1): 97.85% | Batch: 275
Training loss: 0.046202 | Test accuracy (task 1): 98.05% | Batch: 300
Training loss: 0.044389 | Test accuracy (task 1): 98.29% | Batch: 325
Training loss: 0.036004 | Test accuracy (task 1): 98.10% | Batch: 350
Training loss: 0.035669 | Test accuracy (task 1): 98.39% | Batch: 375
Training loss: 0.029426 | Test accuracy (task 1): 97.85% | Batch: 400
Training loss: 0.035466 | Test accuracy (task 1): 97.80% | Batch: 425
Training loss: 0.027457 | Test accuracy (task 1): 98.14% | Batch: 450
Training loss: 0.040966 | Test accuracy (task 1): 97.85% | Batch: 475
==================== Training on task 2 ====================
Training loss: 3.153040 | Test accuracy (task 1): 97.95% | Batch: 0
Training loss: 0.178650 | Test accuracy (task 1): 95.46% | Batch: 25
Training loss: 0.126741 | Test accuracy (task 1): 97.80% | Batch: 50
Training loss: 0.098329 | Test accuracy (task 1): 97.51% | Batch: 75
Training loss: 0.082048 | Test accuracy (task 1): 98.14% | Batch: 100
Training loss: 0.073973 | Test accuracy (task 1): 97.90% | Batch: 125
Training loss: 0.072810 | Test accuracy (task 1): 98.10% | Batch: 150
Training loss: 0.072339 | Test accuracy (task 1): 97.51% | Batch: 175
Training loss: 0.061396 | Test accuracy (task 1): 97.36% | Batch: 200
Training loss: 0.046597 | Test accuracy (task 1): 98.14% | Batch: 225
Training loss: 0.046400 | Test accuracy (task 1): 97.46% | Batch: 250
Training loss: 0.050863 | Test accuracy (task 1): 97.66% | Batch: 275
Training loss: 0.032372 | Test accuracy (task 1): 97.85% | Batch: 300
Training loss: 0.033998 | Test accuracy (task 1): 98.24% | Batch: 325
Training loss: 0.030890 | Test accuracy (task 1): 97.71% | Batch: 350
Training loss: 0.026313 | Test accuracy (task 1): 98.34% | Batch: 375
Training loss: 0.031694 | Test accuracy (task 1): 97.56% | Batch: 400
Training loss: 0.025922 | Test accuracy (task 1): 98.10% | Batch: 425
Training loss: 0.023207 | Test accuracy (task 1): 97.90% | Batch: 450
Training loss: 0.033937 | Test accuracy (task 1): 97.71% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.690696 | Test accuracy (task 1): 98.01% | Batch: 0
Training loss: 0.150522 | Test accuracy (task 1): 95.67% | Batch: 25
Training loss: 0.089084 | Test accuracy (task 1): 96.97% | Batch: 50
Training loss: 0.083444 | Test accuracy (task 1): 97.62% | Batch: 75
Training loss: 0.078285 | Test accuracy (task 1): 97.59% | Batch: 100
Training loss: 0.072710 | Test accuracy (task 1): 98.11% | Batch: 125
Training loss: 0.047001 | Test accuracy (task 1): 98.01% | Batch: 150
Training loss: 0.041623 | Test accuracy (task 1): 98.05% | Batch: 175
Training loss: 0.047874 | Test accuracy (task 1): 97.95% | Batch: 200
Training loss: 0.031668 | Test accuracy (task 1): 97.82% | Batch: 225
Training loss: 0.033267 | Test accuracy (task 1): 97.75% | Batch: 250
Training loss: 0.025296 | Test accuracy (task 1): 97.95% | Batch: 275
Training loss: 0.035938 | Test accuracy (task 1): 97.92% | Batch: 300
Training loss: 0.026816 | Test accuracy (task 1): 98.37% | Batch: 325
Training loss: 0.028412 | Test accuracy (task 1): 98.63% | Batch: 350
Training loss: 0.022339 | Test accuracy (task 1): 97.85% | Batch: 375
Training loss: 0.023098 | Test accuracy (task 1): 98.21% | Batch: 400
Training loss: 0.024070 | Test accuracy (task 1): 98.21% | Batch: 425
Training loss: 0.016298 | Test accuracy (task 1): 98.01% | Batch: 450
Training loss: 0.020137 | Test accuracy (task 1): 98.05% | Batch: 475
Experiment 5 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 6~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 3.443540 | Test accuracy (task 1): 11.38% | Batch: 0
Training loss: 1.312980 | Test accuracy (task 1): 76.32% | Batch: 25
Training loss: 0.660022 | Test accuracy (task 1): 92.53% | Batch: 50
Training loss: 0.432727 | Test accuracy (task 1): 95.26% | Batch: 75
Training loss: 0.382119 | Test accuracy (task 1): 95.90% | Batch: 100
Training loss: 0.285353 | Test accuracy (task 1): 96.44% | Batch: 125
Training loss: 0.227802 | Test accuracy (task 1): 96.19% | Batch: 150
Training loss: 0.237417 | Test accuracy (task 1): 97.17% | Batch: 175
Training loss: 0.226623 | Test accuracy (task 1): 97.51% | Batch: 200
Training loss: 0.195339 | Test accuracy (task 1): 97.22% | Batch: 225
Training loss: 0.177213 | Test accuracy (task 1): 97.31% | Batch: 250
Training loss: 0.167386 | Test accuracy (task 1): 96.92% | Batch: 275
Training loss: 0.177105 | Test accuracy (task 1): 97.66% | Batch: 300
Training loss: 0.172518 | Test accuracy (task 1): 97.85% | Batch: 325
Training loss: 0.153156 | Test accuracy (task 1): 97.31% | Batch: 350
Training loss: 0.134156 | Test accuracy (task 1): 97.07% | Batch: 375
Training loss: 0.125950 | Test accuracy (task 1): 97.71% | Batch: 400
Training loss: 0.115303 | Test accuracy (task 1): 97.46% | Batch: 425
Training loss: 0.137768 | Test accuracy (task 1): 97.17% | Batch: 450
Training loss: 0.122874 | Test accuracy (task 1): 97.80% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.056741 | Test accuracy (task 1): 97.61% | Batch: 0
Training loss: 0.403213 | Test accuracy (task 1): 95.31% | Batch: 25
Training loss: 0.300262 | Test accuracy (task 1): 96.34% | Batch: 50
Training loss: 0.281311 | Test accuracy (task 1): 97.31% | Batch: 75
Training loss: 0.253141 | Test accuracy (task 1): 96.14% | Batch: 100
Training loss: 0.255248 | Test accuracy (task 1): 96.63% | Batch: 125
Training loss: 0.228173 | Test accuracy (task 1): 96.44% | Batch: 150
Training loss: 0.208963 | Test accuracy (task 1): 97.02% | Batch: 175
Training loss: 0.214312 | Test accuracy (task 1): 97.36% | Batch: 200
Training loss: 0.188096 | Test accuracy (task 1): 97.31% | Batch: 225
Training loss: 0.174618 | Test accuracy (task 1): 97.17% | Batch: 250
Training loss: 0.186819 | Test accuracy (task 1): 97.56% | Batch: 275
Training loss: 0.162624 | Test accuracy (task 1): 97.27% | Batch: 300
Training loss: 0.143844 | Test accuracy (task 1): 96.88% | Batch: 325
Training loss: 0.152070 | Test accuracy (task 1): 96.83% | Batch: 350
Training loss: 0.144552 | Test accuracy (task 1): 97.41% | Batch: 375
Training loss: 0.143165 | Test accuracy (task 1): 96.63% | Batch: 400
Training loss: 0.146272 | Test accuracy (task 1): 97.31% | Batch: 425
Training loss: 0.160616 | Test accuracy (task 1): 96.34% | Batch: 450
Training loss: 0.144990 | Test accuracy (task 1): 96.68% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.243996 | Test accuracy (task 1): 96.39% | Batch: 0
Training loss: 0.345835 | Test accuracy (task 1): 94.86% | Batch: 25
Training loss: 0.256805 | Test accuracy (task 1): 96.09% | Batch: 50
Training loss: 0.265279 | Test accuracy (task 1): 97.04% | Batch: 75
Training loss: 0.261508 | Test accuracy (task 1): 96.81% | Batch: 100
Training loss: 0.232720 | Test accuracy (task 1): 96.29% | Batch: 125
Training loss: 0.201971 | Test accuracy (task 1): 96.22% | Batch: 150
Training loss: 0.202987 | Test accuracy (task 1): 96.48% | Batch: 175
Training loss: 0.213400 | Test accuracy (task 1): 96.48% | Batch: 200
Training loss: 0.171533 | Test accuracy (task 1): 96.97% | Batch: 225
Training loss: 0.199899 | Test accuracy (task 1): 96.32% | Batch: 250
Training loss: 0.179268 | Test accuracy (task 1): 96.35% | Batch: 275
Training loss: 0.160470 | Test accuracy (task 1): 96.97% | Batch: 300
Training loss: 0.158659 | Test accuracy (task 1): 96.35% | Batch: 325
Training loss: 0.143941 | Test accuracy (task 1): 95.77% | Batch: 350
Training loss: 0.149251 | Test accuracy (task 1): 96.19% | Batch: 375
Training loss: 0.157546 | Test accuracy (task 1): 96.32% | Batch: 400
Training loss: 0.147042 | Test accuracy (task 1): 96.00% | Batch: 425
Training loss: 0.139441 | Test accuracy (task 1): 96.39% | Batch: 450
Training loss: 0.137652 | Test accuracy (task 1): 96.45% | Batch: 475
Experiment 6 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 7~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.304162 | Test accuracy (task 1): 10.11% | Batch: 0
Training loss: 1.041494 | Test accuracy (task 1): 81.79% | Batch: 25
Training loss: 0.513369 | Test accuracy (task 1): 88.04% | Batch: 50
Training loss: 0.420206 | Test accuracy (task 1): 91.55% | Batch: 75
Training loss: 0.331461 | Test accuracy (task 1): 91.75% | Batch: 100
Training loss: 0.310636 | Test accuracy (task 1): 92.48% | Batch: 125
Training loss: 0.246370 | Test accuracy (task 1): 93.02% | Batch: 150
Training loss: 0.210388 | Test accuracy (task 1): 93.26% | Batch: 175
Training loss: 0.257909 | Test accuracy (task 1): 93.41% | Batch: 200
Training loss: 0.214885 | Test accuracy (task 1): 94.34% | Batch: 225
Training loss: 0.205897 | Test accuracy (task 1): 94.38% | Batch: 250
Training loss: 0.152403 | Test accuracy (task 1): 93.85% | Batch: 275
Training loss: 0.179221 | Test accuracy (task 1): 94.82% | Batch: 300
Training loss: 0.160099 | Test accuracy (task 1): 94.97% | Batch: 325
Training loss: 0.153202 | Test accuracy (task 1): 95.36% | Batch: 350
Training loss: 0.163080 | Test accuracy (task 1): 95.46% | Batch: 375
Training loss: 0.148443 | Test accuracy (task 1): 94.97% | Batch: 400
Training loss: 0.126490 | Test accuracy (task 1): 95.56% | Batch: 425
Training loss: 0.196912 | Test accuracy (task 1): 96.58% | Batch: 450
Training loss: 0.120743 | Test accuracy (task 1): 96.58% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.555467 | Test accuracy (task 1): 96.04% | Batch: 0
Training loss: 0.511709 | Test accuracy (task 1): 88.48% | Batch: 25
Training loss: 0.388757 | Test accuracy (task 1): 91.89% | Batch: 50
Training loss: 0.317159 | Test accuracy (task 1): 93.46% | Batch: 75
Training loss: 0.260880 | Test accuracy (task 1): 94.53% | Batch: 100
Training loss: 0.282035 | Test accuracy (task 1): 94.63% | Batch: 125
Training loss: 0.239135 | Test accuracy (task 1): 95.36% | Batch: 150
Training loss: 0.207155 | Test accuracy (task 1): 95.31% | Batch: 175
Training loss: 0.209856 | Test accuracy (task 1): 96.04% | Batch: 200
Training loss: 0.153478 | Test accuracy (task 1): 96.14% | Batch: 225
Training loss: 0.205221 | Test accuracy (task 1): 95.61% | Batch: 250
Training loss: 0.205493 | Test accuracy (task 1): 95.02% | Batch: 275
Training loss: 0.138396 | Test accuracy (task 1): 95.51% | Batch: 300
Training loss: 0.162420 | Test accuracy (task 1): 95.80% | Batch: 325
Training loss: 0.155628 | Test accuracy (task 1): 96.58% | Batch: 350
Training loss: 0.132944 | Test accuracy (task 1): 95.56% | Batch: 375
Training loss: 0.148741 | Test accuracy (task 1): 96.14% | Batch: 400
Training loss: 0.148522 | Test accuracy (task 1): 96.68% | Batch: 425
Training loss: 0.120227 | Test accuracy (task 1): 96.00% | Batch: 450
Training loss: 0.131066 | Test accuracy (task 1): 96.00% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.719998 | Test accuracy (task 1): 95.90% | Batch: 0
Training loss: 0.362253 | Test accuracy (task 1): 89.49% | Batch: 25
Training loss: 0.259098 | Test accuracy (task 1): 94.30% | Batch: 50
Training loss: 0.248763 | Test accuracy (task 1): 94.30% | Batch: 75
Training loss: 0.206407 | Test accuracy (task 1): 94.79% | Batch: 100
Training loss: 0.218337 | Test accuracy (task 1): 94.92% | Batch: 125
Training loss: 0.190643 | Test accuracy (task 1): 94.56% | Batch: 150
Training loss: 0.170682 | Test accuracy (task 1): 95.90% | Batch: 175
Training loss: 0.152090 | Test accuracy (task 1): 96.00% | Batch: 200
Training loss: 0.176369 | Test accuracy (task 1): 95.70% | Batch: 225
Training loss: 0.147666 | Test accuracy (task 1): 96.03% | Batch: 250
Training loss: 0.155170 | Test accuracy (task 1): 96.22% | Batch: 275
Training loss: 0.161770 | Test accuracy (task 1): 95.90% | Batch: 300
Training loss: 0.129137 | Test accuracy (task 1): 96.22% | Batch: 325
Training loss: 0.152240 | Test accuracy (task 1): 96.58% | Batch: 350
Training loss: 0.127061 | Test accuracy (task 1): 96.58% | Batch: 375
Training loss: 0.132982 | Test accuracy (task 1): 96.81% | Batch: 400
Training loss: 0.106851 | Test accuracy (task 1): 96.88% | Batch: 425
Training loss: 0.103496 | Test accuracy (task 1): 96.71% | Batch: 450
Training loss: 0.098498 | Test accuracy (task 1): 97.27% | Batch: 475
Experiment 7 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 8~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.552063 | Test accuracy (task 1): 10.50% | Batch: 0
Training loss: 1.710640 | Test accuracy (task 1): 78.52% | Batch: 25
Training loss: 1.068997 | Test accuracy (task 1): 87.60% | Batch: 50
Training loss: 0.842021 | Test accuracy (task 1): 90.87% | Batch: 75
Training loss: 0.773056 | Test accuracy (task 1): 92.68% | Batch: 100
Training loss: 0.620905 | Test accuracy (task 1): 94.53% | Batch: 125
Training loss: 0.583045 | Test accuracy (task 1): 94.34% | Batch: 150
Training loss: 0.499497 | Test accuracy (task 1): 95.26% | Batch: 175
Training loss: 0.468335 | Test accuracy (task 1): 96.09% | Batch: 200
Training loss: 0.404194 | Test accuracy (task 1): 96.09% | Batch: 225
Training loss: 0.401579 | Test accuracy (task 1): 95.90% | Batch: 250
Training loss: 0.349989 | Test accuracy (task 1): 96.39% | Batch: 275
Training loss: 0.324785 | Test accuracy (task 1): 96.39% | Batch: 300
Training loss: 0.337933 | Test accuracy (task 1): 97.17% | Batch: 325
Training loss: 0.314044 | Test accuracy (task 1): 97.51% | Batch: 350
Training loss: 0.273873 | Test accuracy (task 1): 96.53% | Batch: 375
Training loss: 0.281162 | Test accuracy (task 1): 97.02% | Batch: 400
Training loss: 0.263739 | Test accuracy (task 1): 97.75% | Batch: 425
Training loss: 0.271979 | Test accuracy (task 1): 97.02% | Batch: 450
Training loss: 0.244767 | Test accuracy (task 1): 97.12% | Batch: 475
==================== Training on task 2 ====================
Training loss: 1.744269 | Test accuracy (task 1): 97.51% | Batch: 0
Training loss: 0.611068 | Test accuracy (task 1): 95.65% | Batch: 25
Training loss: 0.488063 | Test accuracy (task 1): 95.90% | Batch: 50
Training loss: 0.451209 | Test accuracy (task 1): 96.88% | Batch: 75
Training loss: 0.382608 | Test accuracy (task 1): 97.41% | Batch: 100
Training loss: 0.370165 | Test accuracy (task 1): 97.46% | Batch: 125
Training loss: 0.350939 | Test accuracy (task 1): 97.36% | Batch: 150
Training loss: 0.350677 | Test accuracy (task 1): 97.46% | Batch: 175
Training loss: 0.336928 | Test accuracy (task 1): 97.02% | Batch: 200
Training loss: 0.318446 | Test accuracy (task 1): 97.31% | Batch: 225
Training loss: 0.284087 | Test accuracy (task 1): 96.97% | Batch: 250
Training loss: 0.274037 | Test accuracy (task 1): 98.10% | Batch: 275
Training loss: 0.273148 | Test accuracy (task 1): 97.95% | Batch: 300
Training loss: 0.259375 | Test accuracy (task 1): 97.22% | Batch: 325
Training loss: 0.265553 | Test accuracy (task 1): 97.27% | Batch: 350
Training loss: 0.245816 | Test accuracy (task 1): 97.17% | Batch: 375
Training loss: 0.228802 | Test accuracy (task 1): 98.29% | Batch: 400
Training loss: 0.229236 | Test accuracy (task 1): 97.95% | Batch: 425
Training loss: 0.234679 | Test accuracy (task 1): 98.19% | Batch: 450
Training loss: 0.216238 | Test accuracy (task 1): 98.14% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.156817 | Test accuracy (task 1): 98.24% | Batch: 0
Training loss: 0.435358 | Test accuracy (task 1): 96.52% | Batch: 25
Training loss: 0.352922 | Test accuracy (task 1): 97.23% | Batch: 50
Training loss: 0.340437 | Test accuracy (task 1): 97.59% | Batch: 75
Training loss: 0.320535 | Test accuracy (task 1): 97.27% | Batch: 100
Training loss: 0.305263 | Test accuracy (task 1): 97.66% | Batch: 125
Training loss: 0.273042 | Test accuracy (task 1): 97.46% | Batch: 150
Training loss: 0.295523 | Test accuracy (task 1): 97.66% | Batch: 175
Training loss: 0.268273 | Test accuracy (task 1): 97.49% | Batch: 200
Training loss: 0.252620 | Test accuracy (task 1): 97.75% | Batch: 225
Training loss: 0.256648 | Test accuracy (task 1): 97.69% | Batch: 250
Training loss: 0.238447 | Test accuracy (task 1): 97.62% | Batch: 275
Training loss: 0.230614 | Test accuracy (task 1): 97.33% | Batch: 300
Training loss: 0.247849 | Test accuracy (task 1): 97.88% | Batch: 325
Training loss: 0.222029 | Test accuracy (task 1): 97.95% | Batch: 350
Training loss: 0.227177 | Test accuracy (task 1): 98.05% | Batch: 375
Training loss: 0.207488 | Test accuracy (task 1): 97.62% | Batch: 400
Training loss: 0.211949 | Test accuracy (task 1): 97.72% | Batch: 425
Training loss: 0.202190 | Test accuracy (task 1): 97.85% | Batch: 450
Training loss: 0.202690 | Test accuracy (task 1): 98.18% | Batch: 475
Experiment 8 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 9~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.301070 | Test accuracy (task 1): 15.04% | Batch: 0
Training loss: 0.285542 | Test accuracy (task 1): 91.41% | Batch: 25
